chrom,MEG n.assays,MEG n.sites,MEG n.sites.overlap,MEG n.sites.overlap.maf,MEAMR n.assays,MEAMR n.sites,MEAMR n.sites.overlap,MEAMR n.sites.overlap.maf,MEEUR n.assays,MEEUR n.sites,MEEUR n.sites.overlap,MEEUR n.sites.overlap.maf,HC n.assays,HC n.sites,HC n.sites.overlap,HC n.sites.overlap.maf,OMEXP n.assays,OMEXP n.sites,OMEXP n.sites.overlap,OMEXP n.sites.overlap.maf,OM2 n.assays,OM2 n.sites,OM2 n.sites.overlap,OM2 n.sites.overlap.maf,OM5 n.assays,OM5 n.sites,OM5 n.sites.overlap,OM5 n.sites.overlap.maf,AFBB n.assays,AFBB n.sites,AFBB n.sites.overlap,AFBB n.sites.overlap.maf,GSA n.assays,GSA n.sites,GSA n.sites.overlap,GSA n.sites.overlap.maf,PMDA n.sites
12,81551,80344,68155,65433,65757,65757,55143,52562,68352,68352,59623,56999,14807,14804,12881,12758,34945,34945,34552,34532,111074,110665,104192,104025,205738,204722,195113,192564,39334,38138,35632,35030,29640,29609,28968,28424,31971
13,54659,53877,48865,47940,43547,43547,39055,38164,45586,45586,42525,41643,10961,10961,10267,10225,27345,27345,27219,27212,82424,82303,77846,77709,150646,150194,144221,142453,28184,26553,25190,24849,22069,22024,21375,21147,25611
14,54523,53730,46239,44549,43925,43925,37291,35677,46070,46070,40665,39041,9755,9753,8592,8525,22896,22896,22772,22758,75515,75337,71312,71180,140096,139542,133710,131885,27421,26474,24622,24227,20038,20022,19580,19260,24601
15,53005,52284,44261,42446,43149,43149,36155,34430,44735,44735,38988,37240,9057,9057,7905,7843,21237,21236,21039,21021,71257,71084,67221,67099,131241,130721,125157,123517,25503,25070,23672,23267,19216,19193,18462,18006,27969
16,60253,59401,49262,46955,49846,49846,40496,38263,51222,51222,43404,41134,9410,9409,8402,8346,22350,22350,22001,21972,75630,75400,71532,71389,141395,140698,134758,132915,30482,29626,27164,26588,20432,20411,19912,19427,32909
17,61679,60783,46328,43124,51735,51735,38899,35807,52455,52455,41159,38027,8656,8656,7209,7115,19892,19892,19580,19556,65492,65280,61606,61465,125631,124857,118700,117024,32197,29389,26444,25675,19224,19173,18146,17489,34423
18,44978,44389,40248,39441,36165,36165,32325,31548,37657,37657,34938,34152,8508,8508,7911,7879,21357,21357,21180,21174,67770,67654,64235,64129,123849,123490,118883,117412,22680,22309,21548,21361,17843,17841,17626,17408,22488
19,54222,53357,37384,33857,46576,46576,31931,28516,47436,47436,33730,30265,7190,7188,5659,5538,14727,14727,14438,14407,47421,47195,44314,44208,91417,90545,85379,84228,29137,27478,24372,23306,14355,14333,13868,13481,30816
20,41361,40803,34699,33468,34121,34121,28523,27328,34838,34838,30433,29232,7222,7222,6584,6552,18136,18136,17896,17880,55884,55753,53020,52913,102977,102546,97881,96674,20439,20236,19201,18987,14889,14877,14637,14409,20836
21,23507,23159,20073,19424,19298,19298,16359,15751,19502,19502,17598,17028,4241,4240,3958,3938,10069,10069,10005,9993,31672,31609,29887,29782,58772,58528,55978,55219,11833,11598,11031,10903,8693,8691,8545,8424,13430
22,25995,25657,20641,19469,22018,22018,17416,16305,21957,21957,18173,17037,4201,4201,3716,3693,10256,10256,10056,10045,32421,32267,30802,30737,59345,58833,56516,55975,13532,13252,12298,12056,8989,8985,8769,8535,21387
23,51628,51060,42867,41556,39165,39165,32833,31560,39507,39507,34099,32822,8188,8185,7606,7574,17502,17502,16884,16848,51518,48970,49328,48986,113662,107921,105601,103686,19653,19405,18076,17809,16927,16901,15501,15307,62022
