sample pop super_pop gender batch
HG01510 IBS EUR female 9
HG01512 IBS EUR male 8
HG01513 IBS EUR female 10
HG01515 IBS EUR male 8
HG01516 IBS EUR female 2
HG01518 IBS EUR male 6
HG01519 IBS EUR female 2
HG01521 IBS EUR male 8
HG01522 IBS EUR female 4
HG01524 IBS EUR male 3
HG01525 IBS EUR female 7
HG01527 IBS EUR male 9
HG01528 IBS EUR female 4
HG01530 IBS EUR male 4
HG01531 IBS EUR female 3
HG01536 IBS EUR male 1
HG01537 IBS EUR female 2
HG01550 CLM AMR male 10
HG01551 CLM AMR female 8
HG01556 CLM AMR male 5
HG01565 PEL AMR male 10
HG01566 PEL AMR female 7
HG01571 PEL AMR male 1
HG01572 PEL AMR female 10
HG01577 PEL AMR male 5
HG01578 PEL AMR female 3
HG01583 PJL SAS male 9
HG01586 PJL SAS male 3
HG01589 PJL SAS male 8
HG01593 PJL SAS female 2
HG01595 KHV EAS female 3
HG01596 KHV EAS male 2
HG01597 KHV EAS female 6
HG01598 KHV EAS female 1
HG01599 KHV EAS female 3
HG01600 KHV EAS female 6
HG01602 IBS EUR female 9
HG01603 IBS EUR male 2
HG01605 IBS EUR female 8
HG01606 IBS EUR male 2
HG01607 IBS EUR female 10
HG01608 IBS EUR male 4
HG01610 IBS EUR male 6
HG01612 IBS EUR female 3
HG01613 IBS EUR female 9
HG01615 IBS EUR male 6
HG01617 IBS EUR male 5
HG01618 IBS EUR female 10
HG01619 IBS EUR male 8
HG01620 IBS EUR female 9
HG01623 IBS EUR female 1
HG01624 IBS EUR male 6
HG01625 IBS EUR male 8
HG01626 IBS EUR female 3
HG01628 IBS EUR female 3
HG01630 IBS EUR male 4
HG01631 IBS EUR male 4
HG01632 IBS EUR female 7
HG01668 IBS EUR female 9
HG01669 IBS EUR male 10
HG01670 IBS EUR female 6
HG01672 IBS EUR male 4
HG01673 IBS EUR female 1
HG01675 IBS EUR male 1
HG01676 IBS EUR female 10
HG01678 IBS EUR male 10
HG01679 IBS EUR female 7
HG01680 IBS EUR male 5
HG01682 IBS EUR male 7
HG01684 IBS EUR female 5
HG01685 IBS EUR female 10
HG01686 IBS EUR male 3
HG01694 IBS EUR male 6
HG01695 IBS EUR female 9
HG01697 IBS EUR female 8
HG01699 IBS EUR male 8
HG01700 IBS EUR male 1
HG01702 IBS EUR female 6
HG01704 IBS EUR female 1
HG01705 IBS EUR male 9
HG01707 IBS EUR female 1
HG01708 IBS EUR male 2
HG01709 IBS EUR male 9
HG01710 IBS EUR female 2
HG01746 IBS EUR female 1
HG01747 IBS EUR male 2
HG01756 IBS EUR male 2
HG01757 IBS EUR female 6
HG01761 IBS EUR male 3
HG01762 IBS EUR female 8
HG01765 IBS EUR male 8
HG01766 IBS EUR female 4
HG01767 IBS EUR male 1
HG01768 IBS EUR female 4
HG01770 IBS EUR female 5
HG01771 IBS EUR male 7
HG01773 IBS EUR female 7
HG01775 IBS EUR male 2
HG01776 IBS EUR female 5
HG01777 IBS EUR male 3
HG01779 IBS EUR female 3
HG01781 IBS EUR male 6
HG01783 IBS EUR male 7
HG01784 IBS EUR female 4
HG01785 IBS EUR male 1
HG01786 IBS EUR female 9
HG01789 GBR EUR male 6
HG01790 GBR EUR female 8
HG01791 GBR EUR male 8
HG01794 CDX EAS female 3
HG01795 CDX EAS female 7
HG01796 CDX EAS female 10
HG01797 CDX EAS female 4
HG01798 CDX EAS female 2
HG01799 CDX EAS female 1
HG01800 CDX EAS female 6
HG01801 CDX EAS female 7
HG01802 CDX EAS female 9
HG01804 CDX EAS female 5
HG01805 CDX EAS female 2
HG01806 CDX EAS female 7
HG01807 CDX EAS female 1
HG01808 CDX EAS female 6
HG01809 CDX EAS female 8
HG01810 CDX EAS male 7
HG01811 CDX EAS male 5
HG01812 CDX EAS female 10
HG01813 CDX EAS female 10
HG01815 CDX EAS female 8
HG01816 CDX EAS male 3
HG01817 CDX EAS female 8
HG01840 KHV EAS male 6
HG01841 KHV EAS female 1
HG01842 KHV EAS male 2
HG01843 KHV EAS female 9
HG01844 KHV EAS male 7
HG01845 KHV EAS female 9
HG01846 KHV EAS male 9
HG01847 KHV EAS female 1
HG01848 KHV EAS female 10
HG01849 KHV EAS male 8
HG01850 KHV EAS female 4
HG01851 KHV EAS female 5
HG01852 KHV EAS male 1
HG01853 KHV EAS female 3
HG01855 KHV EAS female 1
HG01857 KHV EAS female 2
HG01858 KHV EAS female 7
HG01859 KHV EAS female 9
HG01860 KHV EAS male 5
HG01861 KHV EAS male 9
HG01862 KHV EAS female 5
HG01863 KHV EAS female 3
HG01864 KHV EAS male 4
HG01865 KHV EAS male 1
HG01866 KHV EAS male 3
HG01867 KHV EAS male 7
HG01868 KHV EAS female 5
HG01869 KHV EAS female 10
HG01870 KHV EAS female 8
HG01871 KHV EAS female 10
HG01872 KHV EAS male 2
HG01873 KHV EAS male 6
HG01874 KHV EAS female 8
HG01878 KHV EAS female 7
